"Date Time","T (degC)"
01.01.2009 00:10:00,-8.02
01.01.2009 00:20:00,-8.41
01.01.2009 00:30:00,-8.51
01.01.2009 00:40:00,-8.31
01.01.2009 00:50:00,-8.27
01.01.2009 01:00:00,-8.05
01.01.2009 01:10:00,-7.62
01.01.2009 01:20:00,-7.62
01.01.2009 01:30:00,-7.91
01.01.2009 01:40:00,-8.43
01.01.2009 01:50:00,-8.76
01.01.2009 02:00:00,-8.88
01.01.2009 02:10:00,-8.85
01.01.2009 02:20:00,-8.83
01.01.2009 02:30:00,-8.66
01.01.2009 02:40:00,-8.66
01.01.2009 02:50:00,-8.70
01.01.2009 03:00:00,-8.81
01.01.2009 03:10:00,-8.84
01.01.2009 03:20:00,-8.94
01.01.2009 03:30:00,-8.94
01.01.2009 03:40:00,-8.86
01.01.2009 03:50:00,-8.99
01.01.2009 04:00:00,-9.05
01.01.2009 04:10:00,-9.23
01.01.2009 04:20:00,-9.49
01.01.2009 04:30:00,-9.50
01.01.2009 04:40:00,-9.35
01.01.2009 04:50:00,-9.47
01.01.2009 05:00:00,-9.63
01.01.2009 05:10:00,-9.67
01.01.2009 05:20:00,-9.68
01.01.2009 05:30:00,-9.90
01.01.2009 05:40:00,-9.91
01.01.2009 05:50:00,-9.51
01.01.2009 06:00:00,-9.67
01.01.2009 06:10:00,-9.59
01.01.2009 06:20:00,-9.15
01.01.2009 06:30:00,-8.91
01.01.2009 06:40:00,-9.04
01.01.2009 06:50:00,-9.43
01.01.2009 07:00:00,-9.17
01.01.2009 07:10:00,-8.71
01.01.2009 07:20:00,-8.55
01.01.2009 07:30:00,-8.40
01.01.2009 07:40:00,-8.30
01.01.2009 07:50:00,-8.13
01.01.2009 08:00:00,-8.10
01.01.2009 08:10:00,-8.14
01.01.2009 08:20:00,-8.06
01.01.2009 08:30:00,-7.95
01.01.2009 08:40:00,-7.74
01.01.2009 08:50:00,-7.57
01.01.2009 09:00:00,-7.66
01.01.2009 09:10:00,-7.71
01.01.2009 09:20:00,-7.56
01.01.2009 09:30:00,-7.29
01.01.2009 09:40:00,-7.15
01.01.2009 09:50:00,-7.02
01.01.2009 10:00:00,-7.04
01.01.2009 10:10:00,-7.03
01.01.2009 10:20:00,-7.15
01.01.2009 10:30:00,-7.26
01.01.2009 10:40:00,-7.34
01.01.2009 10:50:00,-7.35
01.01.2009 11:00:00,-7.41
01.01.2009 11:10:00,-7.48
01.01.2009 11:20:00,-7.38
01.01.2009 11:30:00,-7.21
01.01.2009 11:40:00,-7.16
01.01.2009 11:50:00,-7.03
01.01.2009 12:00:00,-6.87
01.01.2009 12:10:00,-6.77
01.01.2009 12:20:00,-6.70
01.01.2009 12:30:00,-6.61
01.01.2009 12:40:00,-6.51
01.01.2009 12:50:00,-6.21
01.01.2009 13:00:00,-5.89
01.01.2009 13:10:00,-5.83
01.01.2009 13:20:00,-5.76
01.01.2009 13:30:00,-5.90
01.01.2009 13:40:00,-5.97
01.01.2009 13:50:00,-5.88
01.01.2009 14:00:00,-5.94
01.01.2009 14:10:00,-5.84
01.01.2009 14:20:00,-5.76
01.01.2009 14:30:00,-5.75
01.01.2009 14:40:00,-5.76
01.01.2009 14:50:00,-5.73
01.01.2009 15:00:00,-5.69
01.01.2009 15:10:00,-5.53
01.01.2009 15:20:00,-5.57
01.01.2009 15:30:00,-5.43
01.01.2009 15:40:00,-5.32
01.01.2009 15:50:00,-5.36
01.01.2009 16:00:00,-5.40
01.01.2009 16:10:00,-5.31
01.01.2009 16:20:00,-5.28
01.01.2009 16:30:00,-5.32
01.01.2009 16:40:00,-5.29
01.01.2009 16:50:00,-5.33
01.01.2009 17:00:00,-5.37
01.01.2009 17:10:00,-5.43
01.01.2009 17:20:00,-5.28
01.01.2009 17:30:00,-5.21
01.01.2009 17:40:00,-5.21
01.01.2009 17:50:00,-5.24
01.01.2009 18:00:00,-5.25
01.01.2009 18:10:00,-5.16
01.01.2009 18:20:00,-5.12
01.01.2009 18:30:00,-5.04
01.01.2009 18:40:00,-5.01
01.01.2009 18:50:00,-5.12
01.01.2009 19:00:00,-5.11
01.01.2009 19:10:00,-4.90
01.01.2009 19:20:00,-4.86
01.01.2009 19:30:00,-4.90
01.01.2009 19:40:00,-4.97
01.01.2009 19:50:00,-4.99
01.01.2009 20:00:00,-4.90
01.01.2009 20:10:00,-4.93
01.01.2009 20:20:00,-4.89
01.01.2009 20:30:00,-4.93
01.01.2009 20:40:00,-5.00
01.01.2009 20:50:00,-4.90
01.01.2009 21:00:00,-4.80
01.01.2009 21:10:00,-4.84
01.01.2009 21:20:00,-4.90
01.01.2009 21:30:00,-4.86
01.01.2009 21:40:00,-4.76
01.01.2009 21:50:00,-4.61
01.01.2009 22:00:00,-4.50
01.01.2009 22:10:00,-4.41
01.01.2009 22:20:00,-4.40
01.01.2009 22:30:00,-4.32
01.01.2009 22:40:00,-4.17
01.01.2009 22:50:00,-4.30
01.01.2009 23:00:00,-4.47
01.01.2009 23:10:00,-4.50
01.01.2009 23:20:00,-4.51
01.01.2009 23:30:00,-4.33
01.01.2009 23:40:00,-4.33
01.01.2009 23:50:00,-4.58
02.01.2009 00:00:00,-4.54
02.01.2009 00:10:00,-4.60
02.01.2009 00:20:00,-4.67
02.01.2009 00:30:00,-4.66
02.01.2009 00:40:00,-4.55
02.01.2009 00:50:00,-4.43
02.01.2009 01:00:00,-4.44
02.01.2009 01:10:00,-4.39
02.01.2009 01:20:00,-4.40
02.01.2009 01:30:00,-4.40
02.01.2009 01:40:00,-4.31
02.01.2009 01:50:00,-4.26
02.01.2009 02:00:00,-4.29
02.01.2009 02:10:00,-4.26
02.01.2009 02:20:00,-4.27
02.01.2009 02:30:00,-4.30
02.01.2009 02:40:00,-4.32
02.01.2009 02:50:00,-4.39
02.01.2009 03:00:00,-4.45
02.01.2009 03:10:00,-4.50
02.01.2009 03:20:00,-4.48
02.01.2009 03:30:00,-4.43
02.01.2009 03:40:00,-4.33
02.01.2009 03:50:00,-4.41
02.01.2009 04:00:00,-4.58
02.01.2009 04:10:00,-4.63
02.01.2009 04:20:00,-4.63
02.01.2009 04:30:00,-4.74
02.01.2009 04:40:00,-4.86
02.01.2009 04:50:00,-4.97
02.01.2009 05:00:00,-4.96
02.01.2009 05:10:00,-4.94
02.01.2009 05:20:00,-4.78
02.01.2009 05:30:00,-4.63
02.01.2009 05:40:00,-4.64
02.01.2009 05:50:00,-4.67
02.01.2009 06:00:00,-4.43
02.01.2009 06:10:00,-4.38
02.01.2009 06:20:00,-4.32
02.01.2009 06:30:00,-4.25
02.01.2009 06:40:00,-4.16
02.01.2009 06:50:00,-4.26
02.01.2009 07:00:00,-4.28
02.01.2009 07:10:00,-4.34
02.01.2009 07:20:00,-4.37
02.01.2009 07:30:00,-4.33
02.01.2009 07:40:00,-4.43
02.01.2009 07:50:00,-4.39
02.01.2009 08:00:00,-4.33
02.01.2009 08:10:00,-4.37
02.01.2009 08:20:00,-4.31
02.01.2009 08:30:00,-4.30
02.01.2009 08:40:00,-4.24
02.01.2009 08:50:00,-4.17
02.01.2009 09:00:00,-4.13
02.01.2009 09:10:00,-4.07
02.01.2009 09:20:00,-3.95
02.01.2009 09:30:00,-3.90
02.01.2009 09:40:00,-3.90
02.01.2009 09:50:00,-3.92
02.01.2009 10:00:00,-3.93
02.01.2009 10:10:00,-3.97
02.01.2009 10:20:00,-3.93
02.01.2009 10:30:00,-3.90
02.01.2009 10:40:00,-3.87
02.01.2009 10:50:00,-3.74
02.01.2009 11:00:00,-3.62
02.01.2009 11:10:00,-3.49
02.01.2009 11:20:00,-3.36
02.01.2009 11:30:00,-3.21
02.01.2009 11:40:00,-3.17
02.01.2009 11:50:00,-3.02
02.01.2009 12:00:00,-3.12
02.01.2009 12:10:00,-3.07
02.01.2009 12:20:00,-2.90
02.01.2009 12:30:00,-2.81
02.01.2009 12:40:00,-2.80
02.01.2009 12:50:00,-2.64
02.01.2009 13:00:00,-2.53
02.01.2009 13:10:00,-2.54
02.01.2009 13:20:00,-2.49
02.01.2009 13:30:00,-2.26
02.01.2009 13:40:00,-2.21
02.01.2009 13:50:00,-2.41
02.01.2009 14:00:00,-2.56
02.01.2009 14:10:00,-2.62
02.01.2009 14:20:00,-2.54
02.01.2009 14:30:00,-2.14
02.01.2009 14:40:00,-2.22
02.01.2009 14:50:00,-2.18
02.01.2009 15:00:00,-2.12
02.01.2009 15:10:00,-2.31
02.01.2009 15:20:00,-2.42
02.01.2009 15:30:00,-2.47
02.01.2009 15:40:00,-2.55
02.01.2009 15:50:00,-2.65
02.01.2009 16:00:00,-2.76
02.01.2009 16:10:00,-2.81
02.01.2009 16:20:00,-2.83
02.01.2009 16:30:00,-2.84
02.01.2009 16:40:00,-2.83
02.01.2009 16:50:00,-2.84
02.01.2009 17:00:00,-2.88
02.01.2009 17:10:00,-2.96
02.01.2009 17:20:00,-2.96
02.01.2009 17:30:00,-2.97
02.01.2009 17:40:00,-3.03
02.01.2009 17:50:00,-3.05
02.01.2009 18:00:00,-3.07
02.01.2009 18:10:00,-3.16
02.01.2009 18:20:00,-3.20
02.01.2009 18:30:00,-3.23
02.01.2009 18:40:00,-3.29
02.01.2009 18:50:00,-3.30
02.01.2009 19:00:00,-3.34
02.01.2009 19:10:00,-3.36
02.01.2009 19:20:00,-3.36
02.01.2009 19:30:00,-3.36
02.01.2009 19:40:00,-3.36
02.01.2009 19:50:00,-3.31
02.01.2009 20:00:00,-3.30
02.01.2009 20:10:00,-3.28
02.01.2009 20:20:00,-3.36
02.01.2009 20:30:00,-3.36
02.01.2009 20:40:00,-3.36
02.01.2009 20:50:00,-3.43
02.01.2009 21:00:00,-3.49
02.01.2009 21:10:00,-3.50
02.01.2009 21:20:00,-3.52
02.01.2009 21:30:00,-3.66
02.01.2009 21:40:00,-3.80
02.01.2009 21:50:00,-3.94
02.01.2009 22:00:00,-4.02
02.01.2009 22:10:00,-4.06
02.01.2009 22:20:00,-4.20
02.01.2009 22:30:00,-4.34
02.01.2009 22:40:00,-4.30
02.01.2009 22:50:00,-4.35
02.01.2009 23:00:00,-4.38
02.01.2009 23:10:00,-4.45
02.01.2009 23:20:00,-4.53
02.01.2009 23:30:00,-4.57
02.01.2009 23:40:00,-4.56
02.01.2009 23:50:00,-4.59
03.01.2009 00:00:00,-4.71
03.01.2009 00:10:00,-4.89
03.01.2009 00:20:00,-5.20
03.01.2009 00:30:00,-5.48
03.01.2009 00:40:00,-5.50
03.01.2009 00:50:00,-5.43
03.01.2009 01:00:00,-5.28
03.01.2009 01:10:00,-5.39
03.01.2009 01:20:00,-5.66
03.01.2009 01:30:00,-5.70
03.01.2009 01:40:00,-5.89
03.01.2009 01:50:00,-6.08
03.01.2009 02:00:00,-6.23
03.01.2009 02:10:00,-6.38
03.01.2009 02:20:00,-6.55
03.01.2009 02:30:00,-6.41
03.01.2009 02:40:00,-6.12
03.01.2009 02:50:00,-6.01
03.01.2009 03:00:00,-6.13
03.01.2009 03:10:00,-6.36
03.01.2009 03:20:00,-6.48
03.01.2009 03:30:00,-6.46
03.01.2009 03:40:00,-6.33
03.01.2009 03:50:00,-6.39
03.01.2009 04:00:00,-6.21
03.01.2009 04:10:00,-6.17
03.01.2009 04:20:00,-6.25
03.01.2009 04:30:00,-6.30
03.01.2009 04:40:00,-6.49
03.01.2009 04:50:00,-6.64
03.01.2009 05:00:00,-7.02
03.01.2009 05:10:00,-7.19
03.01.2009 05:20:00,-7.35
03.01.2009 05:30:00,-7.54
03.01.2009 05:40:00,-7.80
03.01.2009 05:50:00,-7.96
03.01.2009 06:00:00,-8.20
03.01.2009 06:10:00,-8.14
03.01.2009 06:20:00,-7.92
03.01.2009 06:30:00,-7.89
